Name,Status,Tenant,Site,Location,Rack,Role,Manufacturer,Type,IP Address,ID,Tenant Group,Platform,Serial number,Asset tag,Region,Site Group,Position (U),Rack face,Airflow,IPv4 Address,IPv6 Address,Cluster,Virtual chassis,VC Position,VC Priority,Description,Comments,Contacts,Tags,Created,Last updated,Zabbix,Librenms,DNS Entry,Syslog Server,Operating System,High Availability,Backup,Offsite Backup
CR3-C01,Active,MGHPCC,Main Building,102 - Classroom,CR3-C01,Fiber Plant,Systimax,2U Fiber Enclosure,,182,,,,,Holyoke,100 Bigelow Street,42,Front,,,,,,,,,,,,2019-12-19 00:00,2019-12-20 20:28,,,,,,,,
CR301-U42-ppnl-0.1-24,Active,MGHPCC,Main Building,102 - Classroom,CR3-C01,Fiber Plant,Systimax,24 Strand SM Cassette,,183,,,,,Holyoke,100 Bigelow Street,,,,,,,,,,,,,,2019-12-19 00:00,2019-12-20 20:28,,,,,,,,
1172-2,Active,MGHPCC,Main Building,102 - Classroom,Classroom Jacks,Copper Plant,Systimax,1 Port Copper Data Jack,,891,,,,,Holyoke,100 Bigelow Street,9,Front,,,,,,,,,,,,2021-12-16 00:00,2022-04-28 18:39,False,False,False,False,,None,None,False
CR3-C01-04,Active,MGHPCC,Main Building,102 - Classroom,Classroom Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,1577,,,,,Holyoke,100 Bigelow Street,,Front,,,,,,,,,,,,2022-05-13 00:00,2022-05-13 19:50,False,False,False,False,,None,None,False
SEPC8F9F9695446,Active,MGHPCC,Main Building,102 - Classroom,Classroom Jacks,Phone,Cisco,7942,,1565,,,C8F9F9695446,,Holyoke,100 Bigelow Street,10,Front,,,,,,,,,[102] Classroom Lab,,,2022-04-21 00:00,2022-04-21 15:07,False,False,False,False,,None,None,False
1156-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,559,,,,,Holyoke,100 Bigelow Street,9,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:23,,,,,,,,
1149-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,554,,,,,Holyoke,100 Bigelow Street,4,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:17,,,,,,,,
MPMR Mac Mini,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Desktop,Apple,Mac Mini (Late 2012)`,,722,,,C07KC02DDY3G,,Holyoke,100 Bigelow Street,13,Front,,,,,,,,,,,,2021-03-10 00:00,2021-03-10 13:36,,,,,,,,
1157-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,560,,,,,Holyoke,100 Bigelow Street,10,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:23,,,,,,,,
1145-2,Active,MGHPCC,Main Building,103 - Meeting Room,Meeting Room Jacks,Copper Plant,Systimax,4 Port Copper Data Jack,,551,,,,,Holyoke,100 Bigelow Street,1,Front,,,,,,,,,,,,2020-09-09 00:00,2020-09-09 17:06,,,,,,,,
